Author Name,Best Seller Books Amount
Meryl Comer,1
Mike Massimino,1
Stephen Grosz,1
Mario Livio,1
Jo Marchant,1
Amy E Herman,1
Mahzarin R Banaji and Anthony G Greenwald,1
Daniel Kahneman,1
Rebecca Skloot,1
Elizabeth Kolbert,1
Paul Kalanithi,1
Ashlee Vance,1
Bessel van der Kolk,1
Stephen W Hawking,1
Amanda Ripley,1
Carlo Rovelli,1
Cat Warren,1
Jordan Ellenberg,1
Hope Jahren,1
Denise Kiernan,1
Peter Wohlleben,1
Naoki Higashida,1
Andrew Hodges,1
Mark Miodownik,1
David Ludwig,1
David Epstein,1
Frances E Jensen with Amy Ellis Nutt,1
Erik Brynjolfsson and Andrew McAfee,1
Sheri Fink,1
Steve Silberman,1
Daniel Tammet,1
Nate Silver,1
Walter Mischel,1
Temple Grandin and Richard Panek,1
Jeanne Marie Laskas,1
Theodore Gray Photography  Nick Mann,1
Kip Thorne,1
Jeff Passan,1
William Kamkwamba and Bryan Mealer,1
Daniel Lieberman,1
Lewis Dartnell,1
Scott Stossel,1
Tracey Stewart,1
Abigail Tucker,1
Theodore Gray; photography  Nick Mann,1
Adam Rogers,1
Henry Marsh,1
Michael Moss,1
Katy Butler,1
Lynn Sherr,1
Steven Weinberg,1
Vince M Bertram,1
Marc Goodman,1
Sean Carroll,1
John Hargrove with Howard Chua-Eoan,1
Christian Rudder,1
John Donvan and Caren Zucker,1
Mitchell Moffit,1
Judy Melinek and T J Mitchell,1
Wallace J Nichols,1
Nathalia Holt,1
Ed Yong,1
T Colin Campbell with Howard Jacobson,1
Richard I Horowitz,1
Sandeep Jauhar,1
Barbara Oakley,1
Sam Parnia with Josh Young,1
Arthur Allen,1
Jeff Stibel,1
Tony Angell,1
Seth M Siegel,1
Alan B Shepard and Deke Slayton with Jay Barbree,1
Amy E Herman,1
Mario Livio,1
Edward Frenkel,1
Martin Ford,1
Pauline W Chen,1
Ruth Kassinger,1
Laurel Braitman,1
Scott McGaugh,1
Marya Hornbacher,1
edited  Deborah Blum and Tim Folger,1
Dan Fagin,1
Luke Dittrich,1
Andie Mitchell,1
Maia Szalavitz,1
Leslie D Michelson,1
Terrence Holt,1
Nick Bostrom,1
Kunal K Das,1
Gavin De Becker,1
Jane Goodall with Gail Hudson,1
danah boyd,1
Gregory Berns,1
Susannah Cahalan,1
James A Connor,1
James R Hansen,1
Johnjoe McFadden and Jim Al-Khalili,1
Robert Wachter,1
Elizabeth Blackburn and Elissa Epel,1
Viktor Mayer-Schonberger and Kenneth Cukier,1
Tom D Crouch,1
Deepak Chopra and Menas Kafatos,1
Jane Hawking,1
James R Doty,1
Rachel Sussman,1
Steven Dayan,1
Steve Parker,1
Giulia Enders Illustrations  Jill Enders,1
Mike Massimino,1
Jonathan Bush with Stephen Baker,1
Alex Epstein,1
Meryl Comer,1
Stephen Grosz,1
Jennifer Esposito,1
Jo Marchant,1
Mahzarin R Banaji and Anthony G Greenwald,1
Author Name,0
"""Neil deGrasse Tyson",0
"""Jenny Volvovski",0
"""edited  Neil deGrasse Tyson",0
Author Name,0
"""Neil deGrasse Tyson",0
"""Jenny Volvovski",0
"""edited  Neil deGrasse Tyson",0
